level,level_type,subject,topic,competence,Skill,SubSkill,question,response
2eme,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
4eme,primary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
4eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
5eme,primary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
2eme,secondary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
4eme,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
4eme,secondary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
3eme,secondary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
2eme,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
2eme,primary,French,Vocabulaire,Mots usuels,Animaux,Noms,"Donne trois animaux de la ferme.","vache, mouton, poule"
2eme,primary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Présent,"Conjugue le verbe 'manger' au présent.","je mange, tu manges, il/elle mange, nous mangeons, vous mangez, ils/elles mangent"
2eme,primary,French,Orthographe,Accords,Genre et nombre,Féminin,"Transforme au féminin : 'un chat'.","une chatte"
2eme,primary,French,Compréhension,Texte court,Questions simples,Idées principales,"Lis la phrase : 'Ali joue au ballon.' Qui joue au ballon ?","Ali"
2eme,primary,English,Vocabulary,Colors,Basic words,Colors,"Translate in English: 'rouge, bleu, vert'.","red, blue, green"
2eme,primary,English,Vocabulary,Numbers,Counting,From 1 to 10,"Write the numbers from 1 to 5 in English.","one, two, three, four, five"
2eme,primary,English,Grammar,Verb to be,Simple present,Affirmative,"Complete: I ___ a boy.","am"
2eme,primary,English,Vocabulary,Family,Family members,Basic,"Translate in English: 'mère, père, frère'.","mother, father, brother"
3eme,primary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
1ere,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
6eme,primary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
5eme,primary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
3eme,primary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
3eme,primary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
1ere,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
1ere,secondary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
2eme,secondary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
4eme,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
6eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
2eme,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
3eme,secondary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
4eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
4eme,primary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
3eme,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
2eme,primary,French,Vocabulaire,Mots usuels,Fruits,Noms,"Donne trois fruits.","pomme, banane, orange"
2eme,primary,French,Vocabulaire,Vêtements,Noms,Habits,"Comment dit-on : pantalon, chemise, robe ?","pantalon, chemise, robe"
2eme,primary,French,Grammaire,Articles,Déterminants,Défini/Indéfini,"Complète avec 'un' ou 'une' : ___ table.","une"
2eme,primary,French,Grammaire,Conjugaison,Verbes du 2ème groupe,Présent,"Conjugue le verbe 'finir' au présent.","je finis, tu finis, il/elle finit, nous finissons, vous finissez, ils/elles finissent"
2eme,primary,French,Orthographe,Accords,Pluriel,Noms,"Mets au pluriel : 'un chien'.","des chiens"
2eme,primary,French,Orthographe,Homophones,Distinction,à/a,"Complète : Il ___ une belle voiture.","a"
2eme,primary,French,Compréhension,Texte court,Questions simples,Idées,"Lis : 'Le soleil brille.' Que fait le soleil ?","Il brille"
2eme,primary,French,Production,Écriture,Phrases simples,Sujet et verbe,"Écris une phrase avec le mot 'école'.","Je vais à l’école."
2eme,primary,English,Vocabulary,Animals,Basic words,Domestic animals,"Translate in English: 'chat, chien, oiseau'.","cat, dog, bird"
2eme,primary,English,Vocabulary,School objects,Basic words,Objects,"Translate in English: 'livre, stylo, crayon'.","book, pen, pencil"
2eme,primary,English,Vocabulary,Body parts,Basic words,Body,"Translate in English: 'tête, main, pied'.","head, hand, foot"
2eme,primary,English,Vocabulary,Days of the week,Basics,Weekdays,"Write the first three days of the week in English.","Monday, Tuesday, Wednesday"
2eme,primary,English,Grammar,Verb to be,Simple present,Interrogative,"Complete: ___ you a student?","Are"
2eme,primary,English,Grammar,Personal pronouns,Subject pronouns,Basics,"Replace 'Ali' with the correct pronoun: ___ is my friend.","He"
2eme,primary,English,Vocabulary,Colors,Basic words,Colors,"What color is the sky?","Blue"
2eme,primary,English,Vocabulary,Numbers,Counting,From 1 to 20,"Write the numbers from 11 to 15 in English.","eleven, twelve, thirteen, fourteen, fifteen"
3eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
3eme,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
3eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
4eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
4eme,primary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
1ere,secondary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
4eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
2eme,secondary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
3eme,secondary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
4eme,secondary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
4eme,secondary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
4eme,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
3eme,primary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
6eme,primary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
1ere,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
3eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
4eme,primary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,"Conjugue le verbe 'finir' au futur simple.","je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,"Conjugue le verbe 'choisir' au futur simple.","je choisirai, tu choisiras, il/elle choisira, nous choisirons, vous choisirez, ils/elles choisiront"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,"Conjugue le verbe 'réussir' au futur simple.","je réussirai, tu réussiras, il/elle réussira, nous réussirons, vous réussirez, ils/elles réussiront"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,"Conjugue le verbe 'grandir' au futur simple.","je grandirai, tu grandiras, il/elle grandira, nous grandirons, vous grandirez, ils/elles grandiront"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,"Conjugue le verbe 'rougir' au futur simple.","je rougirai, tu rougiras, il/elle rougira, nous rougirons, vous rougirez, ils/elles rougiront"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,"Conjugue le verbe 'applaudir' au futur simple.","j’applaudirai, tu applaudiras, il/elle applaudira, nous applaudirons, vous applaudirez, ils/elles applaudiront"
6eme,primary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
2eme,secondary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
3eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
6eme,primary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
5eme,primary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
6eme,primary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
3eme,secondary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
5eme,primary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
6eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
1ere,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
3eme,secondary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
6eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
6eme,primary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
1ere,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
3eme,primary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
4eme,secondary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
3eme,primary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
6eme,primary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
1ere,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
3eme,primary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
2eme,secondary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
4eme,secondary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
4eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
3eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
3eme,secondary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
4eme,primary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
1ere,secondary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
4eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
2eme,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
5eme,primary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
6eme,primary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
6eme,primary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
4eme,secondary,English,Writing,Essay skills,Argumentation,Connectors,Write an introduction to an essay about the importance of technology in education. (variant),Technology plays a vital role in modern education because it improves access to information and enhances learning methods.
1ere,secondary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
6eme,primary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
3eme,secondary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
6eme,primary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
4eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
4eme,secondary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
3eme,primary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
1ere,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
2eme,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
1ere,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
4eme,secondary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
4eme,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
1ere,secondary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
4eme,secondary,French,Litterature,Analyse de texte,Comprehension,Idees principales,Quel est le theme principal du poeme 'Demain des l'aube' de Victor Hugo? (variant),La douleur et le deuil de la perte d'un etre cher.
4eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
3eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
1ere,secondary,English,Vocabulary,Animals,Identify animals,Wild animals,What is the English word for 'chat'? (variant),cat
3eme,secondary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
6eme,primary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
6eme,primary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
5eme,primary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
4eme,secondary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
5eme,primary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
6eme,primary,English,Grammar,Tenses,Simple past,Regular verbs,Conjugate the verb 'to walk' in the simple past. (variant),"I walked, you walked, he/she walked, we walked, you walked, they walked"
4eme,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
4eme,primary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
2eme,secondary,French,Orthographe,Accords,Accord sujet-verbe,Pluriel,Complete la phrase: 'Les enfants ___ (manger) des pommes.' (variant),Les enfants mangent des pommes.
6eme,primary,French,Grammaire,Conjugaison,Verbes du 1er groupe,Present de l'indicatif,Conjugue le verbe 'jouer' au present de l'indicatif. (variant),"je joue, tu joues, il/elle joue, nous jouons, vous jouez, ils/elles jouent"
1ere,secondary,French,Grammaire,Conjugaison,Verbes du 2eme groupe,Futur simple,Conjugue le verbe 'finir' au futur simple. (variant),"je finirai, tu finiras, il/elle finira, nous finirons, vous finirez, ils/elles finiront"
1ere,secondary,English,Grammar,Tenses,Future tense,Will future,Conjugate the verb 'to eat' in the future simple. (variant),"I will eat, you will eat, he/she will eat, we will eat, you will eat, they will eat"
